isbn,title,author,qty,site,existing_availability,url
9788170804550,( )- The Vakyapadiya of Bhartrhari (Set of 5 Volumes),. (Prof. Harinarayan Tiwari),1,exoticindia,,https://www.exoticindiaart.com/book/details/vakyapadiya-of-bhartrhari-set-of-5-volumes-nzh624/
9788172363123,The treatise on Indian medicinal plants,Asima Chatterjee,1,exoticindia,,https://www.exoticindiaart.com/book/details/treatise-on-indian-medicinal-plants-set-of-6-volumes-hbg670/
9788121800075,"Rasayogasagarah: Hindibhasatikopetah : gahanasthalesu Samskrtavivaranopetah, Samskrtangalabhasopoddhatabhyam samalankrtah (Krsnadasa ayurveda sirija)","Śarmā, Hariprapanna",1,exoticindia,,https://www.exoticindiaart.com/book/details/rasayogasagara-set-of-2-volumes-haa745/
9788170802969,Bhaiṣajyaratnāvalī : susaṃskṛta sambarddhitā pariṣkr̥tyḁbhinavya pariśiṣṭa sahitā,Binod Lall Sen,1,exoticindia,,https://www.exoticindiaart.com/book/details/bhaisajya-ratnavali-revised-enlarged-and-updated-work-text-with-english-commentary-and-supplements-set-of-3-volumes-idj154/
9788170843757,Sudruta Samhita of Susruta,,1,exoticindia,,https://www.exoticindiaart.com/book/details/susruta-samhita-ancient-indian-surgery-set-of-3-volumes-nav583/
9788170849124,Charaka Samhita (Reorganised complete text with English Commentary-regrouping all verses into content-wise sections and chapters) Set in 02 parts,Dr Gayatridevi,1,exoticindia,,https://www.exoticindiaart.com/book/details/charaka-samhita-reorganised-set-of-2-volumes-hba209/
9788195975228,Bloomsbury Class 1 Semester 2,"Leena Kapoor, Dr Lucy Shaily, R. S. Dhauni, Nisha Mudgal, Sara George, Sr. Vijaya",1,darussalam,,
9780197819661,The Oxford Handbook of Tantric Studies,Richard K. Payne,1,exoticindia,,https://www.exoticindiaart.com/book/details/oxford-handbook-of-tantric-studies-hbq578/
9788171101511,"The Yoga-Vasistha of Valmiki, 4 Vols. Sanskrit Text and English Translation. English Translation According to Vihari Lal Mitra.",Dr. Ravi Prakash Arya,1,exoticindia,,https://www.exoticindiaart.com/book/details/yoga-vasistha-of-valmiki-set-of-4-volumes-idf619/
9780674306479,The Nine Jewels: A Box Set From The Murty Classical Library of India,Murty Classical Library of India,1,champaca,In Stock,https://champaca.in/products/the-nine-jewels-a-box-set-from-the-murty-classical-library-of-india
9789357772457,Oru Panpattin Payanam: Cintu Mutal Vaikai Varai (ஒரு பண்பாட்டின் பயணம்: சிந்து முதல் வைகை வரை),"பாலகிருஷ்ணன், ஆர். (Civil servant), 1958-",1,commonfolks,,https://www.commonfolks.in/books/d/oru-panpaattin-payanam-sindhu-muthal-vaigai-varai
9789385445392,Shekhawati Shetra ka Pragyatihasik evam Adyatihasik Puratatv (Hindi),,1,exoticindia,,https://www.exoticindiaart.com/book/details/prehistoric-and-protohistoric-archeology-of-shekhawati-region-uad895/
9789381301937,Ashtanga Hridayamअष्टांगहृदय (Set In 2 Part),unknown author,1,exoticindia,,https://www.exoticindiaart.com/book/details/astanga-hrdayam-of-vagbhata-with-commentary-sanket-majari-of-damodar-ranade-and-anantsundari-hindi-commentary-set-of-2-volumes-nzq002/
9788199120983,लोकमान्य टिळकांच्या अर्थशास्त्रीय विवेचनातील आत्मनिर्भर भारत | Lokmanya Tilakanchya arthshastriya Vivechanatil Atmanirbhar bharat,Dr Pravin Jadhav,1,bookganga,,https://www.bookganga.com/eBooks/Books/details/5420829626196043319?BookName=Marathi-Bhavsangeet-Kosh-Khand-1-Ani-2
9789674342586,World Tamil Encyclopedia (Set of 3 Volumes),Anon,1,commonfolks,,https://www.commonfolks.in/books/d/ulaga-tamil-kalanjiyam-moondru-thoguthigal
9788194088493,Asomiya Sahityar Buranji,Arun Kumar Goswami,1,akshardhara,,9781444954067-secret-seven-set
9789395287609,Ayurved Jadi buti Rahasya New(All In One) HINDI Acharya Balkrishna,Acharya Balkrishna,1,exoticindia,,https://www.exoticindiaart.com/book/details/ayurveda-herbs-secrets-ubj690/
9789385309069,सरयूपार क्षेत्र के उत्खनित स्थलों से प्राप्त मृण्मूर्तियों (मानव तथा पशु) का अध्ययन,"फिलिप्स, पेशन्स, author",1,exoticindia,,https://www.exoticindiaart.com/book/details/study-of-terracotta-human-and-animal-found-from-excavated-sites-of-saryupar-region-uav482/
9788192474069,Textbook of Mycology,Sinha K,1,commonfolks,,https://www.commonfolks.in/books/d/hameedhiyya-tamil-quran-six-parts
9788121803816,: Charaka Samhita (Set of 4 Volumes),(Shri Chakra Pani Datt),1,exoticindia,,https://www.exoticindiaart.com/book/details/charaka-samhita-set-of-4-volumes-nzf579/
9788190987172,A Complete Treatise on Ayurveda: Yogaratnrakara (2 Volume Set),Asha Kumari,1,exoticindia,,https://www.exoticindiaart.com/book/details/yogaratnakara-complete-treatise-on-ayurveda-in-two-volumes-ihl635/
9788193719602,"Susruta Samhita of Maharsi Susruta with English Translation of Text and Dalhana's Commentary with Critical Notes, 3 Volumes",Vasant C. Patil,1,exoticindia,,https://www.exoticindiaart.com/book/details/susruta-samhita-of-maharsi-susruta-with-english-translation-of-text-and-dalhana-s-commentary-with-critical-notes-set-of-3-volumes-nbz258/
9788190809122,Indian plants and drugs,Krishnarao Mangeshrao Nadkarni,1,exoticindia,,https://www.exoticindiaart.com/book/details/indian-plants-and-drugs-128-illustrations-hca872/
9789381301258,Susruta Samhita 1-3Vols.,Dr.p.V.Sharma,1,exoticindia,,https://www.exoticindiaart.com/book/details/susruta-samhita-with-dalhana-s-commentary-along-with-critical-notes-three-volumes-idk022/
9788191009118,Perspectives of Indian medicinal plants in the management of lymphatic filariasis,R.K. Shenoy,1,exoticindia,,https://www.exoticindiaart.com/book/details/perspective-of-indian-medicinal-plants-in-management-of-lymphatic-filariasis-nak485/
9788194356929,Tarevarchi Kasarat (Kathasangraha Marathi),Santosh Shridhar Mhadeshwar,1,commonfolks,,https://www.commonfolks.in/books/d/ayodhidasar-sinthanaigal-irandu-paagangal
9780199459056,Oxford English Language Reference (Setof 5 Books) (English),,1,commonfolks,,https://www.commonfolks.in/books/d/oxford-english-language-reference-setof-5-books
9788194272786,Public Speaking - પબ્લિક સ્પીકિંગ પરના વિશ્વના શ્રેષ્ઠ પુસ્તકોમાંથી શું શીખવા મળે છે?,Darśālī Sonī,1,exoticindia,,https://www.exoticindiaart.com/book/details/bitter-discourses-set-of-10-volumes-haa586/
9789387297043,"Prithvi Raj Raso / Prithviraj Raso 1- 4 Vol / पृथ्वीराज रासो खण्ड 1, 2, 3, 4 हिन्दी अनुवाद सहित",pUnzcjnkbZ,1,exoticindia,,https://www.exoticindiaart.com/book/details/prithaviraj-raso-set-of-4-volumes-nzo681/
9788193538210,Sarvshresth Kahaniyan,JAISHANKAR PRASAD,1,bookganga,,https://www.bookganga.com/eBooks/Books/details/5179427891557405786?BookName=History-Of-Indian-Theatre-Vol.-III
9788177020946,"Madhyabhārata meṃ utkīrṇana evaṃ lekhana takanīka, udbhava evaṃ vikāsa",Dineśa Nandinī. Parihāra,1,exoticindia,,https://www.exoticindiaart.com/book/details/origin-and-development-of-engraving-and-writing-techniques-in-central-india-mzu046/
9788186937617,Gadanigrahaḥ : 'Vidyotinī' hindīvyākhyopetaḥ,Soḍhala,1,exoticindia,,https://www.exoticindiaart.com/book/details/gada-nigraha-of-sri-vaidya-sodhala-with-hindi-commentary-set-of-3-volumes-mzy497/
9788170803690,": ( )- Samrangana Sutradhara: Treatise of Housing Architecture, Machines, Inconography and Dance) - Set of Two Volumes",Bhojarāja,1,exoticindia,,https://www.exoticindiaart.com/book/details/samrangana-sutradhara-treatise-of-housing-architecture-machines-inconography-and-dance-set-of-two-volumes-nzc223/
9788195137213,"भारतीय योगशास्त्र-इतिहासपरक,सैद्धान्तिक एवं साधनात्मक विवेचन (Bhartiya Yoga Shastra-Historical,Theoretical & Practical Aspects) (Set of two vols)",Dr Shyamakant Dvivedi,1,exoticindia,,https://www.exoticindiaart.com/book/details/bharatiya-yogasastra-historical-theoretical-and-practical-aspects-set-of-2-volumes-uac183/
9789380943138,( ) - Surya Siddhanta (Set of 2 Volumes),. '' (Dr. Shri Krishan 'Jugnu'),1,exoticindia,,https://www.exoticindiaart.com/book/details/surya-siddhanta-set-of-2-volumes-nzk648/
9788190222709,My Journey with Guruji : Telepathic Connection with the Light of Divinity,A. P. S. Malhotra,1,commonfolks,,https://www.commonfolks.in/books/d/paintings-of-sivakumar
9789349968912,National Education Policy-2020,Rajkumar singh,1,exoticindia,,https://www.exoticindiaart.com/book/details/2020-national-education-policy-2020-bases-dimensions-and-criticisms-hcj575/
9788190130554,Our Festivals Our Traditions,Anju Poddar,1,exoticindia,,https://www.exoticindiaart.com/book/details/our-festivals-our-traditions-two-sided-book-uah437/
9788194993186,Everyday Life at a Minority School: An Ethnographic Study,,1,exoticindia,,https://www.exoticindiaart.com/book/details/ritusamhara-of-kalidas-uah111/
9788198471451,Textbook on Bharatiya Nagarik Suraksha Sanhita,Basu,1,exoticindia,,https://www.exoticindiaart.com/book/details/know-your-thyagaraja-set-of-4-volumes-nal733/
9788198011657,Viphala,Lekhnath Chhetri | Harsha (translator),1,bookganga,,https://www.bookganga.com/eBooks/Books/details/4894032305622673567?BookName=Servings
9788194848196,Jurm-O-Saza (Part-I),Salīm K̲h̲ān,1,exoticindia,,https://www.exoticindiaart.com/book/details/twelve-jyotirlingas-set-of-6-books-hay916/
9788181820983,Utari Panchal Ka Puratatva Kala Evam Sanskriti,dksey dkUr ’kekZ,1,exoticindia,,https://www.exoticindiaart.com/book/details/art-and-archeology-of-matsya-district-area-uae020/
9788186715499,Prakat Hindi Kosh,Haragovindadāsa Trikamacanda Seṭha,1,exoticindia,,https://www.exoticindiaart.com/book/details/prakrit-hindi-dictionary-along-with-sanskrit-photostat-uab357/
9788176372053,Bhavaprakasa of Bhavamisra Volume 1 and 2,Bulusu Sitaram,1,exoticindia,,https://www.exoticindiaart.com/book/details/bhavaprakasa-of-bhavamisra-original-text-along-with-commentary-and-translation-set-of-2-volumes-nak413/
9789381484432,( ) - Shukra Niti With Hindi Translation (Set of 2 Volumes),(Dr. Jagadish Chandra Mishra),1,exoticindia,,https://www.exoticindiaart.com/book/details/shukra-niti-with-hindi-translation-set-of-2-volumes-nzj102/
9788199376168,Periyapuranam: urainadai vadivil (பெரியபுராணம்:உரைநடை வடிவில்),Mugilai Rajapandian,1,commonfolks,,https://www.commonfolks.in/books/d/periyapuraanam-urainadai-vadivil
9788190950206,The Universe: A New Cosmology Revealing Over Fifty Features of the Universe Along with the Origins of Life and Matter (All the Knowledge in the Universe),,1,bookganga,,https://www.bookganga.com/eBooks/Books/details/5578493500537421886?BookName=Images-Of-Indian-Goddesses
9789355780935,Kāmandakīyanītisāraḥ,Kāmandaki,1,exoticindia,,https://www.exoticindiaart.com/book/details/kamandakiya-nitisara-critically-edited-sanskrit-text-with-sanskrit-and-hindi-commentary-uac180/
9788170805564,Textbook on Hand Holding for Clinical Activity Based Education and Training - Navigating the Path to Clinical Excellence [ENGLISH LANGUAGE],Dr. Nithin Krishnan R.,1,exoticindia,,https://www.exoticindiaart.com/book/details/textbook-on-hand-holding-for-clinical-activity-based-education-and-training-navigating-path-to-clinical-excellence-hae958/
9788176370929,Dravyaguna Vijnana (Fundamental Principles of Pharmacotherapeutics in Ayurveda) (Set of 5 Volumes),Dr. J. L. N. Sastry,1,exoticindia,,https://www.exoticindiaart.com/book/details/dravyaguna-vijnana-fundamental-principles-of-pharmacotherapeutics-in-ayurveda-set-of-5-volumes-nae931/
9781852010119,Araciyal cin̲imā : patin̲ār̲u iyakkun̲arkaḷ,Yamun̲ā Rājēntiran̲.,1,commonfolks,,https://www.commonfolks.in/books/d/arasiyal-cinema-pathinaaru-iyakkunargal
9788123728254,Arakshaneeya,S. Krishamurti,1,commonfolks,,https://www.commonfolks.in/books/d/thirumanamaagaathaval
9788123760810,இந்தியாவின் சில தெரு விளையாட்டுகள்,"ஆனந்த், முல்க் ராஜ், 1905-2004, author",1,commonfolks,,https://www.commonfolks.in/books/d/indiavin-sila-theru-vilaiyaatukal
9788123766447,பரந்து விரிந்த உலகம்,"ஜெயந்தி மனோகரன், author",1,commonfolks,,https://www.commonfolks.in/books/d/parandhu-virintha-ulagam
9788181440334,Natagangal,சசிமதன்.,1,commonfolks,,https://www.commonfolks.in/books/d/ennei-illaa-samaiyal-pakkuvangal
9788181440914,"ஐஸ்க்ரீம்கள், இனிப்புகள், புட்டிங்குகள்",சசிமதன்.,1,commonfolks,,https://www.commonfolks.in/books/d/icecreamgal-inippugal-foodingugal
9788181440945,சுவைமிகு ரொட்டிகள் பருப்புக் கறி வகைகள் = dal and roti varieties,சசிமதன்.,1,commonfolks,,https://www.commonfolks.in/books/d/suvaimigu-rottigal-paruppu-kari-vagaigal
9788190075213,"The Recovery of Debts due to Banks and Financial Institutions Act, 1993",India,1,bookganga,,https://www.bookganga.com/eBooks/Books/details/5320115551618022826?BookName=Vangmay-Shobha-(-October-1948-)
9788190207911,"Dynamic Interoperable Web Based Information Systems Convention on Automation of Libraries in Education and Research Institutions, Fourth International CALIBER-2006, Gulbarga, Karnataka State, India, February 2-4, 2006 : Proceedings","International Caliber (4th : 2006 : Gulbarga, India), Murthy, T. A. V., Information And Library Network Centre (ahmadābād, India), Gulbarga University",1,commonfolks,,https://www.commonfolks.in/books/d/aimpulangalaiyum-adakkuvom
9788190275194,Himalaya Mein Upniveshvad Aur Paryavaran (Coloniasm and the Environment in the Himalaya),Surendra Siṃha Bishṭa,1,bookganga,,https://www.bookganga.com/eBooks/Books/details/4886486998401643671?BookName=Sparsh-Diwali-2022
9788190349239,Porkalathin Kadhai,கீர்த்தி.,1,commonfolks,,https://www.commonfolks.in/books/d/arunavin-palli-maanavargalukkaana-podhu-arivu
9788190409087,ninaivu Alaigal (Part 3),L. Raghavan,1,commonfolks,,https://www.commonfolks.in/books/d/arunaa-s-proverbs-with-expansion
9788190439022,Pala Saraku Mootai,சிவம்.,1,commonfolks,,https://www.commonfolks.in/books/d/arunavin-kuraintha-muthaleettil-athiga-labam-tharum-siruthozhilgal
9788190560061,"அருணாவின் சூப்பர் ஸ்நாக்ஸ்! : வீட்டிலேயே ரொட்டி, பிஸ்கெட், பர்பி, பன், கேக், செய்யலாம் வாங்க!",பேக்கரி சந்தோஷ்.,1,commonfolks,,https://www.commonfolks.in/books/d/super-snacks-veettileye-seiyalaam-vaanga
9788190648271,மைக்ரோவேவ் அவன் அசைவச் சமையல்,லக்ஷ்மி பாலா.,1,commonfolks,,https://www.commonfolks.in/books/d/microwave-ovan-asaiva-samaiyal
9788190677950,பாரதியின் காவியங்கள் : குயில் பாட்டு கண்ணன் பாட்டு,"பாரதியார், 1882-1921, author",1,commonfolks,,https://www.commonfolks.in/books/d/ethu-siranthadhu-yaar-siranthavar
9788190810937,Commodity Derivative Markets Opportunities & Challenges,Unknown Author,1,commonfolks,,https://www.commonfolks.in/books/d/indhirar-desa-sariththiram
9788190949408,THE FIVE THEORIES OF RIVER MANAGEMENT [Paperback] U.K CHOUDHARY,U. K. Choudhary,1,bookganga,,https://www.bookganga.com/eBooks/Books/details/4997952416027742378?BookName=Shabd-Ruchee-December-2014
9788192108322,Khola Haoa lagie Pran e,Manjorita Chakrabarty,1,bookganga,,https://www.bookganga.com/eBooks/Books/details/4839932864661732221?BookName=Milun-Saryajani-June-1993
9788192121079,Sudha Manjari : Maithili Vivah Geet Sampurn,Vijoy Shankar Mallik 'Sudhapati',1,bookganga,,https://www.bookganga.com/eBooks/Books/details/5026750027012918113?BookName=Vismarnatil-Nayak
9788192662541,भारतीय गौरवशाली महिलाएं,"सारस्वत, माधवानन्द.",1,commonfolks,,https://www.commonfolks.in/books/d/vallaththol-kavithaigal
9788192735757,Economics of Labour Markets,G P Verma,1,bookganga,,https://www.bookganga.com/eBooks/Books/details/4862283644719695350?BookName=Milun-Saryajani-March-1991
9788193645291,Jaya Jayosthu Telangana (జయ జయోస్తు తెలంగాణ),"Department of Language and Culture, Telangana Government",1,bookganga,,https://www.bookganga.com/eBooks/Books/details/5399374729253413496?BookName=Milun-Saryajani-June-1990
9788193800089,Gresī nibandha-mālā : śaikshika Hindī nibandha,Viveka Śarmā,1,commonfolks,,https://www.commonfolks.in/books/d/kadhal-kaalam-idhu
9788194431916,SANDHYARAGA (NOVEL) ಸಂಧ್ಯಾರಾಗ (ಕಾದಂಬರಿ) (Kannada) Pocket Book – 1 January 2019,DEHA (ದೇಹ),1,bookganga,,https://www.bookganga.com/eBooks/Books/details/5160997069925901743?BookName=Vangmay-Shobha-(-January-1945-)
9788194519324,Pipal Aur Phultushi,Raka Roy,1,bookganga,,https://www.bookganga.com/eBooks/Books/details/5226137647534579410?BookName=The-Adventures-of-Tom-Sowyer
9788194626534,Primitive and Vulnerable Tribes of Chhattisgarh: The Unacknowledged Races,Mahesh Shrivastava,1,commonfolks,,https://www.commonfolks.in/books/d/sila-thevadhaigalum-oru-theva-kumaranum
9788194833048,"Criminology , criminal administration and victimology hindi [Paperback] M.S.Chuahan [Paperback] M.S.Chuahan",M.S.Chuahan,1,commonfolks,,https://www.commonfolks.in/books/d/siruvar-kandapurana-kathaigal-paaqgam-1
