isbn,title,site,url_checked,current_availability,stock_qty_if_known,current_price,existing_availability_before,status_note,checked_at
9780674306479,The Nine Jewels: A Box Set From The Murty Classical Library of India,champaca,https://champaca.in/products/the-nine-jewels-a-box-set-from-the-murty-classical-library-of-india,In Stock,,3699.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:16Z
9788178246512,CASTE IN BENGAL (HB),champaca,https://champaca.in/products/caste-in-bengal-histories-of-hierarchy-exclusion-and-resistance,Out of Stock,,1495.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:16Z
9788195480678,The Life Literary: Women's Writing in Indian Ladies' Magazine,champaca,https://champaca.in/products/the-life-literary-womens-writing-in-the-indian-ladies-magazine,Out of Stock,,1000.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:16Z
9780241744161,Chasing Aliens: Faith and Conspiracy in the UFO Heartlands,champaca,https://champaca.in/products/chasing-aliens-faith-and-conspiracy-in-the-ufo-heartlands,In Stock,,1099.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:16Z
9781529957570,"80,000 Hours: The Sunday Times Bestselling Guide to Finding a Fulfilling, AI-Proof Career",champaca,https://champaca.in/products/80-000-hours-how-to-have-a-fulfilling-career-that-does-good,Out of Stock,,1099.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:16Z
9780241804551,"Everything I Know About Love | Special Hardback Collector’s Edition with Sprayed Edges and Beautiful Endpapers | The International Bestseller on Love, Friendship and Life’s Lessons",champaca,https://champaca.in/products/everything-i-know-about-love-special-hardback-edition,Out of Stock,,999.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:17Z
9780143470267,"Voices in the Wind: Folktales, Folklore and Spirit Stories from the Himalaya",champaca,https://champaca.in/products/voices-in-the-wind-folktales-folklore-and-spirit-stories-from-the-himalaya,Out of Stock,,999.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:17Z
9780143473206,"India’s Forests: Revisiting Nature and History | Environmental History of India, Ecology, Colonial Impact and Forest Communities",champaca,https://champaca.in/products/india-s-forests-revisiting-nature-and-history,Out of Stock,,999.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:17Z
9780008329778,Islands of Abandonment,champaca,https://champaca.in/products/islands-of-abandonment-life-in-the-post-human-landscape,In Stock,,699.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:17Z
9788190737791,Our Struggle for Emancipation,champaca,https://champaca.in/products/our-struggle-for-emancipation-the-dalit-movement-in-hyderabad-state-1906-1953,In Stock,,650.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:17Z
9780143466482,"The Last of Earth: From the Author of Djinn Patrol on the Purple Line | An Epic Historical Adventure Set in Colonial India and Tibet: An Epic ... Empire, and a Forbidden Journey to Lhasa",champaca,https://champaca.in/products/the-last-of-earth,Out of Stock,,899.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:18Z
9780143473060,"Mother Mary Comes to Me: From the Booker Prize-Winning Author, Arundhati Roy",champaca,https://champaca.in/products/mother-mary-comes-to-me,Out of Stock,,899.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:18Z
9780674305755,"Traders, Speculators, and Captains of Industry : How Capitalist Legitimacy Shaped Foreign Investment Policy in India",champaca,https://champaca.in/products/traders-speculators-captains-of-industry,In Stock,,899.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:18Z
9788196965570,"LAW, SOCIAL TRANSFORMATION AND JUDICIAL PROCESS IN INDIA",champaca,https://champaca.in/products/champaca-sketchbook-brown,In Stock,,599.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:18Z
9788199238879,Earthbound: Climate Stories from South Asia | Edited by Alina Gufran,champaca,https://champaca.in/products/earthbound-climate-stories-from-south-asia,Out of Stock,,599.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:18Z
9780143470915,"Discovery of New India: A Graphic Novel Exploring Indian Politics, Governance, Freedom & Public Policy | Contemporary Political Nonfiction",champaca,https://champaca.in/products/discovery-of-new-india,In Stock,,799.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:19Z
9780143479499,The Inheritance of Loss,champaca,https://champaca.in/products/the-inheritance-of-loss-799-edition,Out of Stock,,799.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:19Z
9780674301351,The Questions of Milinda (Murty Classical Library of India),champaca,https://champaca.in/products/the-questions-of-milinda,Out of Stock,,799.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:19Z
9781399612982,Slow Down: How Degrowth Communism Can Save the Earth,champaca,https://champaca.in/products/slow-down-how-degrowth-communism-can-save-the-earth,Out of Stock,,799.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:19Z
9780143466857,The Distaste Of The Earth,champaca,https://champaca.in/products/the-distaste-of-the-earth,In Stock,,799.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:19Z
9780143469230,The Land and the Shadows,champaca,https://champaca.in/products/the-land-and-the-shadows,In Stock,,799.00 INR,In Stock,matched catalog product via slug,2026-07-16T10:52:20Z
9780143470229,The Whispering Mountains: Greatest Himalayan Folktales: A gorgeously illustrated collection of timeless folktales from different parts of the Himalayas | Ages 10 and up,champaca,https://champaca.in/products/the-whispering-mountains-marvellous-folktales-from-the-himalayas,Out of Stock,,799.00 INR,Out of Stock,matched catalog product via slug,2026-07-16T10:52:20Z
